Tick,Step,DateTime,X,Y,ID
855,855,2022-03-01T05:14:15.0000000,1,7,3b859546-674a-454b-9565-be88f44911f9
855,855,2022-03-01T05:14:15.0000000,8,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
855,855,2022-03-01T05:14:15.0000000,1,19,deb1d222-41a8-4677-b59e-596879022729
855,855,2022-03-01T05:14:15.0000000,2,20,44e3c14e-cce0-4d4a-8f73-b56f60072101
855,855,2022-03-01T05:14:15.0000000,12,10,c4859179-55ad-44cd-9fa8-e14db336d3e4
855,855,2022-03-01T05:14:15.0000000,12,20,687fda8b-58fe-4006-9617-6c3460a159b2
856,856,2022-03-01T05:14:16.0000000,12,20,20b2d71e-2333-4c3f-954f-4da2b1a44070
856,856,2022-03-01T05:14:16.0000000,17,5,b9562772-999c-4c71-abf4-238d41a5c640
856,856,2022-03-01T05:14:16.0000000,5,23,469922c6-cc85-4a64-9d36-442638f356d6
856,856,2022-03-01T05:14:16.0000000,1,9,1172130a-286c-4dd4-b6f6-4f2ae840cb01
856,856,2022-03-01T05:14:16.0000000,0,6,3b859546-674a-454b-9565-be88f44911f9
856,856,2022-03-01T05:14:16.0000000,8,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
856,856,2022-03-01T05:14:16.0000000,0,20,deb1d222-41a8-4677-b59e-596879022729
856,856,2022-03-01T05:14:16.0000000,2,20,44e3c14e-cce0-4d4a-8f73-b56f60072101
856,856,2022-03-01T05:14:16.0000000,11,9,c4859179-55ad-44cd-9fa8-e14db336d3e4
856,856,2022-03-01T05:14:16.0000000,11,21,687fda8b-58fe-4006-9617-6c3460a159b2
857,857,2022-03-01T05:14:17.0000000,11,19,20b2d71e-2333-4c3f-954f-4da2b1a44070
857,857,2022-03-01T05:14:17.0000000,18,6,b9562772-999c-4c71-abf4-238d41a5c640
857,857,2022-03-01T05:14:17.0000000,4,24,469922c6-cc85-4a64-9d36-442638f356d6
857,857,2022-03-01T05:14:17.0000000,0,8,1172130a-286c-4dd4-b6f6-4f2ae840cb01
857,857,2022-03-01T05:14:17.0000000,0,6,3b859546-674a-454b-9565-be88f44911f9
857,857,2022-03-01T05:14:17.0000000,7,1,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
857,857,2022-03-01T05:14:17.0000000,0,20,deb1d222-41a8-4677-b59e-596879022729
857,857,2022-03-01T05:14:17.0000000,1,19,44e3c14e-cce0-4d4a-8f73-b56f60072101
857,857,2022-03-01T05:14:17.0000000,10,8,c4859179-55ad-44cd-9fa8-e14db336d3e4
